Apps                                    Avg Num     Num Machines
SystemUIServer                          4.82353     20
sharingd                                4.73529     20
configd                                 3.81765     20
com.apple.preference.network.re         3.0         1
Spotify                                 2.7971      12
Google\x20Chrome\x20Helper              2.52174     14
FortniteClient-Mac-Shipping             2.5         1
launchd                                 2.11176     20
ARDAgent                                2.0         1
kdc                                     2.0         1
netbiosd                                2.0         20
EpicGamesLauncher-Mac-Shipping          2.0         1
AirPlayXPCHelper                        1.94118     20
wifivelocityd                           1.5         3
Dropbox                                 1.49091     6
identityservicesd                       1.32353     20
WirelessRadioManagerd                   1.06452     18
UserEventAgent                          1.05128     20
eapolclient                             1.00602     20
PerfPowerServices                       1.0         13
WiFiAgent                               1.0         20
WiFiProxy                               1.0         18
bluetoothd                              1.0         17
locationd                               1.0         20
loginwindow                             1.0         20
symptomsd                               1.0         20
systemstats                             1.0         17
syslogd                                 1.0         20
assistantd                              1.0         11
bluetoothaudiod                         1.0         4
EEventManager                           1.0         1
Finder                                  1.0         20
ExpressVPN                              1.0         2
SymDaemon                               1.0         2
blued                                   1.0         3
expressvpnd                             1.0         2
timed                                   1.0         17
rapportd                                1.0         17
DrCleaner                               1.0         1
networkd                                1.0         1


UNIX Domain Sockets                     Avg Num     Num Machines
Dropbox                                 64.07273    6
firefox                                 54.125      1
mDNSResponder                           43.37059    20
plugin-container                        42.0        1
launchd                                 36.08235    20
com.avast.daemon                        36.0        1
Google\x20Chrome                        26.48649    14
Opera                                   22.4        2
com.avast.proxy                         19.0        1
com.avast.fileshield                    18.0        1
SymDaemon                               16.0        2
Code\x20Helper                          14.28205    2
HP\x20Device\x20Monitor                 14.0        3
Creative\x20Cloud                       12.5        2
Image\x20Capture\x20Extension           11.0        1
Google\x20Chrome\x20Helper              10.64262    14
icdd                                    10.01765    20
AdobeIPCBroker                          10.0        2
usbmuxd                                 9.9         20
Microsoft.Python.LanguageServer         9.0         1
identityservicesd                       8.05882     20
Electron                                7.55556     2
com.avast.service                       7.0         1
AdobeReader                             7.0         2
Spotify                                 6.71014     12
sharingd                                6.13529     20
iTunes                                  5.98611     10
Atom                                    5.86486     5
Adobe\x20Desktop\x20Service             5.5         2
Adobe\x20CEF\x20Helper                  5.25        2
java                                    5.0         2
python3.6                               5.0         1
ath                                     5.0         3
cfbackd                                 5.0         1
Slack                                   5.0         1
Atom\x20Helper                          4.44        5
ssh-agent                               4.38562     2
Opera\x20Helper                         4.3038      2
iTunesHelper                            4.17241     8
AirPlayXPCHelper                        4.00588     20
Dropbox\x20Web\x20Helper                4.0         6
Microsoft\x20Outlook                    4.0         1
OneDrive                                4.0         1
parentalcontrolsd                       4.0         2
node                                    4.0         2
RdrCEF                                  4.0         2
apsd                                    3.80588     20
UserEventAgent                          3.60588     20
Core\x20Sync                            3.5         2
Slack\x20Helper                         3.5         1
Microsoft\x20Word                       3.48148     14
configd                                 3.25882     20
Spotify\x20Helper                       3.10714     12
homed                                   3.01053     11
CarboniteStatus                         3.0         1
MobileDeviceUpdater                     3.0         9
EpicGamesLauncher-Mac-Shipping          3.0         1
AppleMobileDeviceHelper                 3.0         7
nesessionmanager                        3.0         1
JavaAppLauncher                         3.0         2
WunderlistHelper                        3.0         1
SubmitDiagInfo                          3.0         1
cloudphotosd                            3.0         1
com.apple.photomoments                  3.0         1
fmfd                                    3.0         4
locationd                               3.0         20
airportd                                2.91176     20
Microsoft\x20Excel                      2.87324     9
Microsoft\x20PowerPoint                 2.86111     9
