APP NAME                                   NUM MACHINES   AVG FIFOS   AVG PIPES    LOCAL TCP(TOTAL)    LOCAL UDP(TOTAL)    AVG UNIX     USERS
sharedfilelistd                                       1           0           0               0 (0)               0 (0)           1     USERNAME
sharingd                                             22           0           0               0 (0)               5 (5)           6     USERNAME
SidecarRelay                                          8           0           0               0 (0)               0 (0)           1     USERNAME
Similar\x20Photo\x20Cleaner                           1           0           0               0 (0)               0 (0)           1     USERNAME
SIRI                                                  9           0           0               0 (0)               0 (0)           2     USERNAME
SiriNCService                                         1           0           0               0 (0)               0 (0)           1     USERNAME
SLACK                                                 1           0          40               0 (3)               0 (0)           8     USERNAME
soagent                                               1           0           0               0 (0)               0 (0)           1     USERNAME
socketfilterfw                                        3           0           4               0 (0)               0 (0)           2     root
softwareupdated                                       1           0           0               0 (0)               0 (0)           2     _softwareupdate
Spark                                                 1           0           0               0 (5)               0 (0)           2     USERNAME
SPINDUMP                                              4           0           0               0 (0)               0 (0)           2     USERNAME, root
SPOTIFY                                              12           0          33               1 (9)               3 (3)          10     USERNAME
SPOTLIGHT                                            20           0           0               0 (5)               0 (0)           3     USERNAME
ssh-agent                                             2           0           9               0 (0)               0 (0)           4     USERNAME
Stickies                                              3           0           0               0 (0)               0 (0)           1     USERNAME
storeaccountd                                         1           0           0               0 (0)               0 (0)           2     USERNAME
storeassetd                                           1           0           0               0 (2)               0 (0)           2     USERNAME
storedownloadd                                        1           0           0               0 (0)               0 (0)           2     USERNAME
storeuid                                              1           0           0               0 (0)               0 (0)           1     USERNAME
SubmitDiagInfo                                        1           0           0               0 (0)               0 (0)           3     root
sudo                                                 22           0           3               0 (0)               0 (0)           1     root
suggestd                                              3           0           0               0 (0)               0 (0)           1     USERNAME
suhelperd                                            19           0           0               0 (0)               0 (0)           1     root
SymDaemon                                             2           0           8               0 (1)               1 (1)          16     root
symptomsd                                            22           0           0               0 (0)               1 (1)           1     _networkd
syncdefaultsd                                         5           0           0               0 (1)               0 (0)           2     USERNAME
syslogd                                              22           0           0               0 (0)               1 (1)           2     root
syspolicyd                                           15           0           0               0 (0)               0 (0)           1     root
System\x20Preferences                                 4           0           0               0 (0)               0 (0)           1     USERNAME
systemstats                                          19           0           0               0 (0)               2 (1)           1     root
SystemUIServer                                       22           0           3               0 (0)               5 (5)           1     USERNAME
tccd                                                  1           0           0               0 (0)               0 (0)           1     USERNAME
Terminal                                             22           0           4               0 (0)               0 (0)           1     USERNAME
TeXShop                                               2           0           1               0 (0)               0 (0)           1     USERNAME
TextEdit                                              7           0           0               0 (0)               0 (0)           1     USERNAME
timed                                                19           0           0               0 (0)               1 (1)           2     _timed
TouchBarServer                                        1           0           0               0 (0)               0 (0)           1     root
trustd                                                8           0           0               0 (0)               0 (0)           2     root, _locationd, USERNAME
usbmuxd                                              22           0           0               0 (1)               0 (0)          10     _usbmuxd
useractivityd                                         1           0           0               0 (0)               0 (0)           1     USERNAME
UserEventAgent                                       22           0           0               0 (0)               1 (1)           4     USERNAME, root
usernoted                                            16           0           0               0 (0)               0 (0)           1     USERNAME
vpnagentd                                             2           0          23               1 (1)               0 (0)           1     root
warmd                                                 1           0           0               0 (0)               0 (0)           1     root
WDSecurityHelper                                      1           0           0               0 (0)               0 (0)           1     USERNAME
WeatherService                                        1           0           0               0 (0)               0 (0)           1     USERNAME
WiFiAgent                                            22           0           0               0 (0)               1 (1)           1     USERNAME
WiFiProxy                                            20           0           0               0 (0)               1 (1)           0     USERNAME
wifivelocityd                                         3           0           0               0 (0)               2 (2)           2     root
WindowServer                                         18           0           0               0 (0)               0 (0)           1     _windowserver
wirelessproxd                                         1           0           0               0 (0)               0 (0)           1     root
WirelessRadioManagerd                                20           0           0               0 (0)               1 (1)           0     root
WORD                                                 16           0           4               2 (3)               0 (0)           4     USERNAME
WunderlistHelper                                      1           0           0               0 (0)               0 (0)           3     USERNAME
xartstorageremoted                                    2           0           0               2 (2)               0 (0)           0     root
ZoomOpener                                            3           0           4               1 (1)               0 (0)           0     USERNAME
zotero                                                1           0           4               2 (4)               0 (0)           2     USERNAME
